Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chad,"13,9110330357","14,030383031","12,9482750294","13,7276219989","13,500254984","13,9126155001","14,3618954226","14,9410123585","13,2067875851","16,259836968","15,9123848459","14,5650982982","15,7287774463","18,3910807353","14,4026671497","16,0839281929","15,354041496","16,4227412352","17,7786010283","16,944906728","15,1004602055","6,5619714825","16,4188766071","18,0178072552","11,906635103","13,3941044283","15,4492482732","15,0191432966","13,7814245063","13,4802082461","11,9516330555","11,0907463868","13,3234461239","16,1056019998","21,9290175471","17,5435092466","18,5438360845","18,4916260621","18,3181207713","16,8900964319","14,665787545","12,6899405968","24,6329669069","51,0088580567","61,0023547904","63,1523991671","54,8","52,8","40,6395933014","39,001465721",
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"12,0414430345","11,9218204484","12,2646305893","12,6098896249","13,6054421769","14,8093298778","14,2694063927","13,977389517","16,4562349269","14,6129541864","11,0285670522","9,8218744798","13,6538254179","20,3823261229","25,4376862461","25,1249598252","20,6209426602","20,5826736609","23,2768351584","22,8199050212","16,4176244708","19,3685855379","24,0096036951","24,2339127738","28,1475068869","29,0895935288","30,1273252453","34,2477974316","35,3888794896","33,9860347565","32,3963793218","29,8119267728","26,6231580339","28,2378893917","29,3027858801","27,2767748827","27,0837646082","26,2999107729","29,5980143755","29,2871513812","30,8719815129","31,5433054141","33,9222527056","37,8551541056","38,3823695451","42,5048929149","43,8809156735","41,5066849742","37,0344374307","38,0615598279","38,0675391266"
China,,,,,,,,,,"2,609658847","2,7606982398","3,1847413198","4,3306318257","4,9755811281","4,5910184486","4,8144244043","4,6939637647","6,6035060829","8,5181411327","10,6478356586","12,5752718325","11,6702553418","10,1910237908","10,4112871245","9,2129349619","9,9996011192","14,4878063369","14,8331644461","13,9028079034","16,073989495","17,3658611122","18,647808934","19,6496761308","21,2664065896","20,2250746988","20,0538555582","21,7538880259","20,3465989679","20,1698930511","23,3264056696","22,6002122087","25,1333335109","29,5560886031","33,9517252957","37,0812547871","39,1338083268","38,4139813789","34,9795093698","26,7127130195","30,6145489011","31,3739000427"
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"12,9557802673","12,1913769567","11,9762312104","11,9199756987","11,4206810795","12,1127854992","11,976380161","12,9842141344","13,2264231039","14,3106776573","12,8298885083","14,2394551626","15,2163182629","14,5788868132","15,7982562675","17,0965856456","16,8987571084","16,6027669066","15,2252193056","16,211458208","11,852088192","10,9318153313","10,444848616","11,8757949306","13,8142598314","18,8372464406","16,9529782772","16,2896881642","18,001261679","20,5654291501","21,3431825777","17,7084642188","16,4289319554","14,9983618346","14,5337428892","15,1994617014","14,8415437435","15,007350837","18,3465787502","15,9151397154","15,3871357665","14,8155696775","16,5752997118","16,7707514248","16,8499159209","17,6374974603","16,5392324252","17,7894839894","16,0308096551","15,9204556531","18,9536921395"
Comoros,,,,,,,,,,,,,,,,,,,,"8,6993182987","11,7580757031","15,6862708581","19,8277481928","9,0189063912","16,9978189333","16,4403772862","15,2451959163","17,9849835427","14,8824091926","14,2521373799","20,0114893006","18,0405347867","19,969986065","20,0734315006","19,7633967654","18,3236837344","18,1429463843","11,3543120363","12,7113696951","16,7366966265","15,5212163781","15,7312271027","17,5159258186","15,1139307502","14,1438946653","14,1967188231","14,7308019099","13,909810331","14,6663220525","15,6331882514","15,3150902011"
"Congo, Dem. Rep.","9,8578124484","7,7494610541","31,7965297487","33,5028603791","25,9230592485","31,1194601543","15,5509376632","14,5158203935","13,1820329465","15,4599582579","12,1387988405","11,2511027157","13,4415787185","16,181106758","9,9631347622","12,1531787187","10,328194661","12,3487522493","12,6487974918","16,4784739323","14,1409006331","12,1495893267","16,2382427529","26,0130107634","27,5110685923","24,7109802883","25,9813578235","25,4989962413","25,4897397422","29,5038037332","20,380133647","16,6780607743","11,3279909423","22,6252744781","28,4822888849","30,0027633753","18,7500003","29,7900882751","23,6356700066","22,3918816632","18,6345764107","21,1033481167","26,6419554392","30,6750768451","33,6175349376","34,2051099282","65,1643736566","61,3007213034","45,2053047247","68,3361296209","68,2766316677"
"Congo, Rep.","19,4595554762","30,4895973673","36,4728990435","38,1526018011","36,0082230436","29,889298893","30,4794572739","30,3858360129","32,0754903196","34,7368289474","32,5817251697","28,309178744","31,6225165563","53,2291838183","35,8880778589","40,3771547421","45,5849946809","43,7214372163","47,4117647059","60,0166481687","58,0210448588","55,2676056338","57,9454454454","61,627543036","56,7882159044","39,8337009349","41,7343061338","40,62215478","48,5242020247","53,6802467192","45,0667360479","42,8661179804","44,2191816866","62,9960309866","64,7045701572","68,4582134339","75,5966393745","76,2776297713","72,2900710688","80,2971472192","77,4200268515","81,5164254834","80,812365597","80,5297928333","84,1581731087","84,1596778064","78,5294841648","75,151487384","70,4179847886","85,1196712668","87,2830492778"
