Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Oman,,,,,,,"33,7628865979","70,1397712834","74,6","73,6891385768","65,7873701039","59,375","67,8276269185","73,7203545454","67,5503991252","62,3317855992","58,3016397733","58,3201208677","61,0624158558","62,6591140821","64,6871124277","58,5460232441","53,6515950037","50,2806136102","49,8278320505","39,2465225837","48,8779393781","40,006202512",,"47,2300741169","43,0654925603","44,7168904761","43,0510450227","43,0012279967","44,0353488308","49,8101900994","50,0369487889","41,9695908502","48,6876034808","59,1815896178","57,2713642357","49,3319496692","49,9698176989","51,5652998841","58,6131448287","56,7875061833","56,7252187946","58,7899347303","52,641509434",,
Pakistan,,,,,,,"9,1707474767","9,1591659279","8,6643179014","7,7687922422","7,1423313928","11,7743168648","13,5268282396","13,680564588","10,8536162543","10,7216050404","9,2846378819","9,2406884774","10,6926230809","12,4872847045","12,3171710385","9,9455949064","11,9185113787","11,0703895923","10,4233487921","11,9007483058","13,2348300626","13,5864232014","13,8831101377","15,5383068872","16,9969431232","17,3593018277","16,3064751947","16,2825154506","16,7099696558","16,9031017752","16,0819532251","16,4847911756","15,3534993274","13,4413246244","14,6595396108","15,2236171955","16,718967407","15,6668995032","15,6894954323","15,2298147564","14,1934625442","12,8480493615","12,8591444758","13,5741050349","14,1553721534"
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,392343927","32,625438139","23,3180075619","15,0849425934","14,561567458","12,8526935482","10,4334307898","9,4561882032","11,9610521214","9,6009610973","61,051212938","65,869155749","69,521217652","78,2884097035","77,2010891988","68,9376428672","70,1751679823","83,8532625187","85,1103136554","91,2693217137","103,2520378993"
Panama,,,,,,,,,,,,,,,,,,,,"98,1864945017","94,0454935423","85,7724515709","71,1686665713","67,1973836242","68,6097741577","71,1259953328","71,510916411","75,2036106267","78,9033248082","86,781976963","96,8009174469","100,0105399464","97,0383443407","99,7853605555","100,6969302184","83,431844756","90,1051170171","79,1776812257","66,5398077913","72,5751903963","72,7207283506","67,4595026238","63,5975628615","67,6091203374","75,4893402394","76,7147108595","81,1972124922","85,1918996939","81,4980004236","76,9539643949","80,7986451615"
Papua New Guinea,"16,1024702653","16,2092624357","17,4107142857","18,3052090976","18,0279856817","16,7860211974","17,3681499307","18,8596449434","18,9150825512","18,4767481523","21,3699559707","31,2090489307","44,8781110352","46,8844841042","39,9787879192","41,7737302466","44,9749722289","41,936435471","45,4796071844","43,1824842701","38,2405405663","36,833983078","36,1960347063","39,4428158057","42,1145962448","43,5796727464","43,1664509491","43,2510029917","40,6474702039","40,624795787","42,2648111826","47,8498705186","52,6432591071","53,5346081166","61,0389864967","59,4045078086","49,1575225424","54,0414902882","63,1183639103","66,1783595707","65,329967772","60,9158106874","69,4179664156","72,1640494566","73,6302601474","82,0826501573","80,9480822449","74,5698918432","57,7709150295","55,8521163746","50,9885231565"
Paraguay,"19,2172915058","12,6295004712","11,5597514486","12,2566329817","14,9578032525","13,2463391104","12,2184566578","12,3553644299","13,5776755747","14,9170858571","13,3753698022","13,7669124489","14,9636866422","15,5084578213","13,2089543539","14,6602257738","19,4539702665","18,4202362118","16,058246364","15,309735986","11,5164660505","12,1405320969","13,2502143879","15,8804788382","22,0992319647","26,4871843494","26,3545867684","34,4238821846","35,6993768363","33,247405165","30,170488715","28,0712911832","36,9305769824","53,9981021923","59,4277411874","50,3429962607","44,0359223506","50,2372902347","36,756226451","38,2291415995","34,7719455171","43,4277232437","45,7017184784","46,8924219766","50,2369736862","52,7191080237","51,2782051012","50,9194092142","48,3621648381","51,599458991","48,5320377911"
Peru,"21,375350861","20,5106887019","18,9500417865","19,0174762104","16,0979230502","15,987460815","15,8442985667","18,6024986708","17,9412991405","17,8928565979","14,2170999876","14,1247833049","13,6890388923","14,4991381896","10,850615314","12,0488811034","15,8967061177","20,7331826689","27,741325037","22,4020635409","16,094461305","16,5262041454","19,7079750634","19,3476003022","22,9674494649","13,9427061605","10,9684337343","18,8376311947","12,3884043752","15,763554199","12,6480142183","12,764757719","12,1914298781","12,2478322729","12,594796609","13,2987222233","14,3592895004","13,1359643089","15,0330033441","16,0013057624","15,6546025115","16,0738878229","17,7226300652","21,4546725414","25,0893256793","28,5301130947","29,0093688563","27,2507166124","23,9777895747","25,4982965843","28,6796202532"
Philippines,"12,5924282241","16,9476848166","18,61723689","18,1849168338","19,3836494672","20,4477851917","19,964816409","16,9029663147","14,726876777","21,5764693971","20,4541638684","19,6804634215","24,7669656357","25,0211128334","21,0180639185","19,3269449969","21,0586383043","20,6673881458","21,5608674224","23,5726095287","23,8337902527","20,3343874241","21,3397204377","24,0241305214","24,0155766127","26,328202113","26,642148678","28,3927816192","28,112019744","27,5162290192","29,5972551524","29,1297679199","31,3596123861","33,8256941212","36,3572830571","40,5066572372","48,9564820008","44,7642293019","45,4893062322","51,3692937508","46,0268520415","46,7470051727","47,1570551855","48,5726485819","46,1369847857","46,5780568667","43,2607982597","36,9120405265","32,2323534846","34,8032929531","31,0201352794"
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,1955932524","21,5085395949","21,6708392793","20,973934689","21,6179724599","23,199554003","22,3084680283","23,4080329405","25,9812748169","24,1915131413","27,1243911024","27,0560210579","28,6348379501","33,313882603","37,4923475293","37,0850460998","40,3550462203","40,7572805138","39,899187099","39,4439533065","42,2458583326",
Portugal,"13,4718076006","15,2621014208","15,9371365739","21,3917306771","22,4347413748","22,6823419063","22,7972083456","20,9603014646","20,4586328977","19,3948684532","19,9429252102","21,6555832578","21,252285077","21,3643383755","16,2209517987","13,8627260268","14,6496869555","15,996258239","21,5123886693","21,7748142155","20,6334576599","20,9917052889","24,9170634803","29,6141477744","29,6778474983","26,3820496362","27,7457430319","28,0482885452","29,9040417444","29,6036209645","26,9429558549","24,8229556331","23,9516457944","25,5079025502","27,1684374819","27,209453262","27,7556480292","27,927140288","27,0835334827","28,9347290108","28,0751031262","27,6008275069","27,6227297788","28,0449393051","27,6588186716","30,9051483506","32,1866037638","32,4461531395","28,0325168127","31,0193971496","35,50913059"
Puerto Rico,"45,3541268318","45,4976366046","46,1108734221","45,3120144724","43,6849451741","46,362547469","47,971831059","47,1795116782","46,6204839018","44,3054058784","41,310852193","40,1516811139","45,1194604532","52,9590872371","48,0971896956","46,8099845428","60,7876200856","60,3206454548","64,5372540031","65,1290836824","68,3630285659","70,4161230066","66,0517684072","67,3958648837","67,5447993688","66,6030917908","66,3380486449","67,0885142112","71,7067372412",,,"77,498348272","71,8033638026","71,4748101566","72,0266175625","67,697951955","66,4412331127","70,0464442078","71,8988260922","74,7927094509","80,5266046804","78,3312599915","84,1435904495","84,2136288188","82,784415851","84,2931282825","82,4688353595","82,7304032041","77,8407176031","77,9125975868",
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,8757581292","44,3386682137","43,7257422603","48,2808095604","51,0956309107","60,0407882778","67,2833585991","65,8928571429","60,3427728279","61,6975823868","64,2873250186","67,3387971864","63,2165952191","57,3387762432","50,719417587","47,0963164829",,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,7268912461","17,6006170879","27,7914151131","23,0162996554","24,9013534982","27,6164980891","28,1410317881","29,1768293769","22,6216456577","28,0180021888","32,6913314961","33,3941033205","35,4024358842","34,6948761475","35,9270336909","32,9227623987","29,5548714723","30,7241348818","30,9839649654","33,3233966596","23,4865684435","22,3323603823"
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,9022687809","18,1620620279","13,2713621738","62,3224618622","38,2045944843","27,7583790422","29,2894644732","26,0733140751","24,7299893276","31,2214785519","43,2202687013","44,0607205431","36,8934209938","35,2493315669","35,2499817749","34,4178910548","35,2030659646","33,7304754439","30,1640604847","31,3095603335","27,9381012043","29,9501371577","31,0513998495"
Rwanda,"11,4754083913","9,2799994298","5,9375","12,0000004726","12,0967758585","11,2793690483","10,5120317099","8,7398361172","7,6788534762","11,5052287329","10,2114267531","8,2819386062","11,5983616671","12,1687576189","9,1718816862","14,5789534313","14,2677660507","14,7809979482","21,0460631124","14,4365215959","9,8255055224","11,5525587755","11,5817675244","12,6314336347","10,7825066692","12,5843178876","7,4500525311","6,6195598329","6,1392889572","5,6146091779","7,3166044396","5,5684081973","5,1752459643","6,3025859199","5,1507919193","6,0313700254","7,7973393711","5,585063573","6,2220511129","6,3198154452","8,4785523361","7,035364936","8,4534005038","11,124005305","11,4244044725","11,057721666","11,1645023159","14,4565470331","10,1356279353","10,0462299536","13,42351583"
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,"63,8166047088","63,3513513514","59,7028783658","66,8981481481","60,3798297315","49,8145859085","48,9137181875","55,0502379693","55,3656220323","61,4398111723","63,8993495378","59,3274853801","55,2895553257","51,7493687526","58,9398910512","61,6579256419","58,3207763404","54,6467289983","51,1540905297","49,6832579186","53,1805929919","53,7677419355","46,9916111538","36,0419924568","33,5738998077","32,0995775256","35,822194135","38,9808850079","42,2547887937","37,4433449766","33,4605972058","31,0860757162","24,6145001602","29,6062938441","32,7029825421"
St. Lucia,,,,,,,,,,,,,,,,,,,"63,1220909416","66,9563044806","51,7661655233","57,7832828408","63,6062901525","52,6421588304","61,3999001813","74,0551181102","74,5522889799","87,3793500471","80,1897598326","72,5592636485","69,9236913558","67,7411106948","67,6585282428","65,6920195995","67,5450262135","62,3463248758","59,3421217463","58,4285759489","55,1618648283","49,2995303559","46,2822229739","44,1465014832","49,9296119888","54,0905073457","57,7745958711","43,2394964188","40,3676598685","45,6267870673","46,3359879322","52,0290966369","44,4331169633"
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,"43,2742017233","58,7823875378","51,8480771844","54,9468771111","57,4272133096","58,9181223181","61,3342785129","69,0463449803","72,9969158081","72,9893241334","64,263969992","75,9671402825","65,3394610403","65,82143359","52,8436735843","59,2970266494","50,0023279406","46,2704962921","51,1521867451","52,8877801505","50,6173463585","49,5245900368","53,3904736396","45,1418198222","40,8206775305","38,5424781499","35,8315731023","35,3112541736","36,3679779184","34,6940316468","30,9949884083","30,0675594307","28,6026442577","27,2064768484","27,0717564183"
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,508398145","34,621158922","35,356062788","32,7026201439","36,3100930981","35,78571346","33,8170039039","34,5808469405","32,879104279","31,292433406","31,6491430451","31,8718736646","32,4649335592","32,8603007842","32,4216158931","31,4965801101","32,0377188758","31,3516321588"
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,2065136013","14,4896671051","16,4508217658","17,7095995469","14,0625953141","13,86999118","13,7318226078","9,2770099547","9,5437158636","9,9814525032","12,094321364","11,4582234429"
Saudi Arabia,,,,,,,,"47,7336860958","48,1901841891","54,4769154587","57,0642637659","64,4763342218","103,1947498356","63,5262580689","73,7190108457","59,8860850688","57,5442878567","49,4262958305","54,9249044697","63,5460040537","62,9390453838","50,8417648488","38,5618034242","34,6179364755","30,0711104729","26,7029982179","30,8617733423","31,3237689978","33,7456761226","40,6291296326","38,5672153305","39,331660116","34,5650799759","34,2155429709","37,5699163148","40,2560838305","39,3887703114","29,83620196","34,8301586628","43,6524377407","39,8773983613","41,1778502632","46,1180541056","52,6677965127","60,8788086359","63,2325557192","64,7677204327","67,782926675","53,6393883619","58,0885789159","61,6123231118"
Senegal,"21,1733902609","20,3012799611","17,61742302","17,4659668016","17,5332907788","18,5662126596","17,0850293495","19,743915393","21,4424560686","23,4773363551","22,3600980829","26,4568777023","24,5919956157","36,8999256563","31,435550103","31,3289435643","37,3680597591","26,0988392524","27,4875093226","23,8984979301","31,7180111782","29,180133861","35,1822303499","33,9812492504","27,8319891513","24,5593754065","21,2480248638","22,2916072929","24,4629559581","25,4105358069","23,0926355792","22,3488301729","20,2643044768","31,7537391735","30,8663417036","26,9840157954","27,3148894782","27,6965639643","28,0564682179","27,9251163333","28,726292545","28,5488709897","26,6267551667","26,4412613642","26,8997415051","25,596660635","25,3669032306","26,1282205889","24,410344084","24,7857754739","24,5058604661"
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,7418718958","23,5638781756","17,5040764528","23,855178804","21,2984423728","19,6174114162","22,296282066","23,4957242454","26,178989341","29,8749543383","30,5102035496","31,0764040769","29,3924652242","34,892266003","36,0800690515"
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,"74,3708971554","78,3569979716","82,0978315683","72,2525427934","67,9583819938","57,0179049187","52,4581697996","55,6249370531","65,9582436101","68,918582455","63,0267154763","61,3367719751","64,0248691099","65,1177484204","62,4828427635","58,4818948538","56,0192688637","54,3044469783","52,3542327397","54,7310139658","66,3386929046","65,6170483461","60,8690219598","67,6651744134","78,1545866436","81,5735493125","83,9710260018","95,143631721","97,8136269349","78,2090194556","84,3264709561","97,4080613451","113,3260818444","108,3792942129",,
Sierra Leone,,,,"29,076993278","28,8663809895","27,7777777778","27,0783847981","23,6827742893","27,6297438278","31,0213715739","31,2678330295","27,7726487893","24,6387970546","24,0968638946","25,1085017077","21,5400151911","19,7195088736","19,8226303642","19,9048967519","22,864560163","23,0150125859","15,7556868157","11,0708386303","10,6246566551","14,8224506653","11,9168356998","31,9642231562","28,7246765587","23,9176415169","22,4472985669","22,7419719804","22,4593576354","21,4882282445","29,5116423906","18,6182180385","17,8199588961","13,9409126641","16,2027274362","12,4989082716","18,0814211375","16,025271912","17,5681274695","23,2247867119","22,5365986498","23,5740969182","24,9439278006","20,7712733637","16,3425243728","15,9588084404","17,1000845021","16,2635051705"
Singapore,,,,,"123,2948829723","123,3367115774","114,3505807814","125,7203768654","132,1932778073","126,0976855003","119,52902788","106,7995564983","118,415201132","149,6080251488","137,1854572484","149,6243912202","162,9971891018","165,7683501904","185,0528241612","202,6092755286","198,785851903","186,1324869676","167,5749203761","157,4029386594","153,1242845643","149,114557156","164,5872578374","185,2219540666","179,4727991118","177,4485513691","169,5908223267","162,0991281173","161,9999201735","167,2232443131","183,0106693852","178,4887741082","171,5721111944","169,0347284649","180,1579782564","192,3375656045","187,8285129897","188,7558495251","207,4226255279","219,2672673114","229,6753698081","233,404568431","217,6993719697","241,4020145282","224,7920141802","207,1705358848","208,950244835"
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,3375053776","32,1525884168","28,843995693","26,5467615257","46,3246799303","70,3280168522","56,1841858863","59,2585205646","57,7610893151","53,3167916352","56,3323041032","59,164821937","61,1632497639","70,4485106444","72,7126204537","71,1185316876","75,8452358026","74,5443894358","76,2519024937","84,4896918397","86,8560071736","83,4700743839","70,8772776632","81,2474349164","89,0553314531"
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,7593920215","83,5347231136","63,1433344001","58,7520682214","58,8937270748","49,59290431","49,9061812782","51,2999338863","51,0713995576","47,2290116958","53,6989784884","55,1820965559","55,0780527967","53,7974271522","57,8088977283","62,1779761258","66,540494317","69,5573164618","67,1423971512","58,3894822463","65,424702114","72,2967090951"
Solomon Islands,,,,,,,,,,,,,,,,,,,,,"36,8711656442","36,174863388","38,5024154589","38,1055900621","33,1976744186","36,6757493188","33,410041841","32,0092735703","28,9763779528","30,0522875817","33,5403012533","33,9013614643","38,6365371402","36,7523043734","36,2222976029","34,4215122048","38,6659718603","36,1877479066","35,6879554222","24,0899647728","16,5117519256","20,0667351372","26,4064064064","30,9303319561","34,0712933552","36,1378873766","36,6693760965","37,2968429608","36,6446718407","31,1069957873","25,8346407254"
Somalia,"15,9970508574","12,794031078","15,8688706917","15,9804522651","17,1520591354","14,958664926","13,650646699","14,8925734375","15,9897338019","11,5135945723","13,2610276469","15,7372130402","13,9093919771","17,4628017659","12,4631157773","10,0338400958","20,2616218756","25,8403676763","24,3054170951","33,1798394374","24,8208650232","25,9680411494","23,6272377161","14,5887535794","6,3301283404","6,9635018917","6,690683106","4,8225432078","7,6830809863","9,7867471858",,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,"30,7231688216","30,4661197169","29,5149494344","28,3959736941","26,479195659","26,0387495798","25,2955314971","25,9767910493","23,6571136678","21,8043931049","21,8873798524","25,3494633388","25,3596761048","27,9812163046","27,6909559624","27,7392381743","30,2384648841","32,362491319","35,2101913354","35,3802015953","28,3549440652","26,4546085191","24,7281402102","25,4738491065","31,4150688155","30,5713058514","30,2639041942","29,0983859944","26,6946395185","24,2371034275","21,750405627","21,3432727027","22,4781935885","22,1027962421","22,7724860014","24,7293469347","24,5955405163","25,6528627691","25,3346819621","27,8709062035","30,1275366749","32,9232854103","27,8801323655","26,4224640758","27,3804295384","30,0060200676","31,2918705377","35,7853827312","27,4007726773","27,3431916779","28,8214499331"
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,"7,9723561784","8,3036536089","7,7122885685","8,8117593399","8,1931597903","8,8928503667","8,5511155695","10,5686127546","11,3329121652","12,4402981","13,3456502234","13,6796194605","13,6615972064","13,5212422179","12,6917725573","12,8877140342","13,5901716575","14,2338972291","14,0540336755","14,6556522273","16,6991859076","17,4105541613","19,5623295364","21,8469459357","21,3974371932","18,6619199274","18,1773741384","17,7445431992","17,0262514841","16,1262667471","16,163105469","16,6008319627","18,1610117742","20,8296972868","22,3843651122","23,6243154551","26,3049168421","26,6657769424","26,6711153874","29,0506376338","28,5336355099","27,3264057439","26,3170395948","25,9363551862","25,6667231205","26,2930129157","26,9029141793","26,4956958525","23,9172375627","27,1822500698","30,2644930432"
Sri Lanka,"27,5375481562","27,7926702133","25,7568061711","24,6155175674","25,9030183078","22,3701571309","20,4603297554","20,6214425679","18,3924754168","25,4537470726","24,6120996441","22,3257034171","24,3479678331","26,4313659501","27,4899349061","29,0467834321","33,8149257011","34,7708894879","33,7106534064","32,2184977528","30,4593847421","27,3564561962","26,3287308493","28,8040014049","26,0120092379","23,7181987363","25,192275433","26,0764386302","27,2602038183","30,1808045148","28,7410868952","31,7703740803","33,801006876","33,8128837958","35,5976291309","34,973337777","36,5381180829","36,2438186773","35,4837047137","39,0157101467","37,331198976","34,9133301997","34,6535028324","35,3309027324","32,3368729875","30,1285270938","29,114999687","24,8414814667","21,3283706548","22,3768331209","23,0573544748"
Sudan,"13,3094124014","14,624899881","16,7071893103","15,5418159824","14,2219134577","14,3175002418","15,1076565711","15,1159804845","15,6925229286","16,3407630248","15,6385315344","16,018968309","14,8483434438","12,7094668118","12,0936048589","11,2212245678","9,3732646535","7,918323447","9,956128818","10,5812303808","9,6191284381","9,9350709085","10,5974767378","8,4583158468","5,7466723639","4,7402944848","5,5223336569","3,7955366323","5,3413931518","4,0213889964","3,33502574","5,2460699484","4,2303768051","4,6905553832","4,9694660597","7,4548298043","5,3436298896","6,7020936994","7,7794093198","15,9845569476","11,3978615263","13,978999384","14,8278626917","17,7579629389","19,2077330031","19,433123164","22,0996114337","24,5028725206","16,1216358198","20,000189246","18,4737104468"
Suriname,"50,254065041","48,019323671","49,409090909","46,917666529","49,657410746","59,059029807","59,007306626","57,683590209","62,00471193","60,267044305","63,569192635","60,935326843","60,104814936","74,877916441","63,225806452","61,127596439","55,148205928","55,336501076","58,556832695","68,813692667","58,714358023","51,849423592","43,88298226","43,360527686","36,742051961","32,603815937","31,065979487","29,313463692","37,698149377","42,047386042","35,001115325","28,663700774","20,412922697","22,937660225","22,850212128","23,349454198","25,192203695","31,109500529","27,232007632","19,728764478","23,57149125","18,790883323","19,744616775","26,105715898","30,422232933",,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,"41,9746297529","47,8574756822","59,2283513134","53,8622183771","65,9362549801","73,2240437158","73,595505618","75,6140350877","64,9402390438","69,9126092385","67,8278688525","67,0212765957","70,3896103896","81,5144766147","72,9362101313","75,6962025316","65,3933434191","62,930452397","62,8999711732","74,6014043884","75,1846675983","66,3868461956","62,1302699399","55,5037672706","56,6728994561","68,7713122862","81,8464665089","76,8702783066","84,1120478263","59,021253098","59,259192185","57,3491650227","57,2855773428","63,6786784142","60,0157157443","59,3548322456","61,350765837","67,1737748922","64,9999048304","74,3266633269","85,4406625002","95,7114737837","100,9490060748","84,929395513","87,0668776243","76,616070534","75,669407352","59,3610454163","59,5115023005","54,8111283243","56,3047605858"
Sweden,"22,3431372039","21,9048553694","21,942337854","22,3228790887","21,8565762927","21,4181214219","21,1060896213","21,5645986027","22,8423047838","23,9843191212","24,2211999253","24,0818511579","27,283622942","32,065732181","28,0230344297","27,5204404863","27,2668128785","28,0986459775","30,2630588704","29,6704142647","30,3964411237","32,8960414576","36,1706700987","36,9069074789","35,7231950868","33,2018822806","32,7525389066","32,4005548663","32,1673841408","30,4657208882","28,2426019978","28,1295454399","32,7459824577","36,0734140837","39,700813727","38,56082938","42,0706181311","43,049563857","43,0985760054","46,5227833624","46,3032789294","44,3712427823","43,5220779711","45,9573379051","48,4312886482","51,1070205945","51,8702067614","53,5288610376","47,9570415257","49,481128415","49,9302219479"
Switzerland,"27,187001893","26,8626640895","26,6184268104","26,5727500664","27,5110458675","28,1385750224","27,8886480636","29,5268414458","31,3201557528",,,,,,,,,,,"35,257927003","36,1238142775","34,9190893719","34,8620667204","36,5440469009","37,918613102","36,0191939682","35,2356259438","35,9708019013","37,4806268052","35,6714515802","34,6224925855","35,3299964447","35,799878974","35,5177197953","35,2167134162","35,8343602205","39,1783933089","39,6876204809","41,2318630438","45,4295068716","44,6524474363","43,2721807966","42,9113541205","45,0455422256","47,5814284223","50,8208303492","54,3652631417","54,2679385074","50,3670818545","51,7074618304","51,20242546"
Syria,"17,5990947645","20,9337611507","19,427642642","16,7084330485","17,0400715648","17,6577174102","15,7516046828","17,36443635","17,1102942066","17,8850265713","17,7284622615","18,5395540398","22,5418594361","24,6131723541","21,8769913506","19,9564117732","18,5687708376","15,1711386164","19,5568503786","18,6280515759","15,9879529356","14,2213926029","13,5456926241","12,6966753049","12,5808373256","11,5113572272","16,007182796","17,1455145564","24,7545150684","28,3391968039","24,4052586307","26,2564916718","27,8652825948","33,0619777475","31,039712772","31,8259784586","32,4207406095","30,5291709766","32,3167605104","35,3894830795","35,3781996682","38,0720076502","33,4705254231","40,0543851479","40,3878553249","39,5045675157","38,6434451426","36,8440324707","29,0758176905","35,3264536027",
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,2","35,9","27,8","33,2","9,6792104304","28,554791339","43,0362522191","65,585452395","76,588304745","87,2382714844","48,9150410445","66,0733793036","98,7622024788","67,9919618956","65,4611623875","63,376864058","58,31411276","26,0052639546","23,1876088466","20,6187422121","16,7572107818","13,4107570057","15,2037741402","15,3388952445"
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,621148848","10,2620611946","12,4418378863","17,9831078575","20,6139807131","24,074722728","19,937164943","16,2181067168","12,3977291659","12,5296570745","13,3649094359","17,0065648573","17,5807532131","18,5625959461","19,6512752448","20,8228248614","22,5624521076","24,2416952523","25,1424814256","23,2278748965","27,8331928074","31,0574159957"
Thailand,"16,9445041362","15,2461776057","14,8124775959","16,8796401203","16,4531882205","17,1425569726","17,7135920146","16,5016408936","15,6878714071","14,9932163126","15,9713172661","18,1657854206","18,5952279995","21,5974211866","18,3646565934","20,2308801087","19,9504330208","19,8893885379","22,5800678976","24,111448654","23,8473822697","22,9179074525","20,1112068823","21,9013833351","23,2136291801","25,6017977288","28,8940115143","33,0119677052","34,9215276271","34,1319286498","35,964310074","36,9724758961","37,9595811423","38,8716855244","41,8438924447","39,2516546307","48,0097680923","58,8778623264","58,2976521297","66,7776484232","65,856602374","64,1943345033","65,6806428668","70,6970485753","73,5677106647","73,6468951511","73,4244733582","76,4446009709","68,3516799275","71,2857654777","76,9435189344"
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,"39,2443933047","35,0453416929","25,4175175684","35,0724428163","31,9819259272","38,8858843848","37,9233323675","42,0121935","45,8916111901","49,635648167","46,8204229856","39,2801277642","33,1177763905","66,009132653","43,4077185112","47,30472126","41,4690528976","63,9784941501","50,0019000949","51,0620564643","46,2332713247","50,1481477706","45,476353867","51,2428292589","48,408757293","43,9847574392","41,3692065823","43,6585288012","39,668474693","33,4738898686","33,4427775141","26,9345382059","24,3838623685","30,5485588469","32,4369128019","33,2820379155","28,9750122642","29,6863423301","28,8746893473","34,3835514503","33,8012772535","36,5171714249","43,3684574416","38,564715135","40,044298055","38,2007126341","37,9192864392","35,4935713037","36,7411259096","39,9164716973","40,9145393472"
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,"41,3298689751","26,9358036455","33,8660384339","28,789426585","26,0781649236","30,0622153807","25,3752561712","27,5881228245","18,6577658047","26,6080233845","30,128607642","25,712353339","30,9267213663","22,7365587521","25,1032988381","33,870178586","22,9032973187","23,6419666165","19,8940887985","17,3815489616","17,4887439447","20,3500859504","23,7303120966","19,7175343935","15,9552323191","15,4009418319","13,3573973464","18,2241302025","19,3132881151","19,4470124091","17,6404540911","14,3749401834","12,1166519103","13,7104803324","14,0269914257","13,1962475773","17,8861129986"
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,"69,575136064","65,8566080292","64,169587228","66,7403842059","64,5521510528","41,6539039793","41,6037450921","42,7394952796","43,4355728953","42,7693626383","42,7498590988","39,5964442627","44,1502221455","56,7104765531","52,9857923649","55,8361357918","49,5512965166","44,0465030322","45,0741472492","50,4473452947","45,8821033227","34,9143445658","30,7477808246","32,1314209587","32,553456391","33,2595577762","33,8966769016","38,9161445143","42,640516933","45,3626646773","40,5197015771","41,9730790967","43,9575906246","46,0699965918","53,7654857822","51,5301230674","53,854732432","48,4651311486","50,0028077649","59,2187461379","55,3171221222","50,2735832297","52,1296780159","56,0381366374","65,8201068711","81,4092480285","65,851298808","64,1621293511","50,5875451838","57,8321388441",
